Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Ryzen 3 PRO 2300U,Raven Ridge,4,2 to 3.4 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 5 1400,Zen,04-Aug,3.2 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Apr 11th, 2017"
Ryzen 5 1500X,Zen,04-Aug,3.5 to 3.7 GHz,Socket AM4,14 nm,16MB,65 W,"Apr 11th, 2017"
Ryzen 5 1600,Zen,06-Dec,3.2 to 3.6 GHz,Socket AM4,14 nm,16MB,65 W,"Apr 11th, 2017"
Ryzen 5 1600X,Zen,06-Dec,3.6 to 4 GHz,Socket AM4,14 nm,16MB,95 W,"Apr 11th, 2017"
Ryzen 5 2500U,Raven Ridge,04-Aug,2 to 3.6 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 5 PRO 1500,Zen,04-Aug,3.5 to 3.7 GHz,Socket AM4,14 nm,16MB,65 W,"Jun 29th, 2017"
Ryzen 5 PRO 1600,Zen,06-Dec,3.2 to 3.6 GHz,Socket AM4,14 nm,16MB,65 W,"Jun 29th, 2017"
Ryzen 5 PRO 2500U,Raven Ridge,04-Aug,2 to 3.6 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 7 1700,Zen,Aug-16,3 to 3.7 GHz,Socket AM4,14 nm,16MB,65 W,"Mar 2nd, 2017"
Ryzen 7 1700X,Zen,Aug-16,3.4 to 3.8 GHz,Socket AM4,14 nm,16MB,95 W,"Mar 2nd, 2017"
Ryzen 7 1800X,Zen,Aug-16,3.6 to 4 GHz,Socket AM4,14 nm,16MB,95 W,"Mar 2nd, 2017"
Ryzen 7 2700U,Raven Ridge,04-Aug,2.2 to 3.8 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 7 PRO 1700,Zen,Aug-16,3 to 3.7 GHz,Socket AM4,14 nm,16MB,65 W,"Jun 29th, 2017"
Ryzen 7 PRO 1700X,Zen,Aug-16,3.4 to 3.8 GHz,Socket AM4,14 nm,16MB,95 W,"Jun 29th, 2017"
Ryzen 7 PRO 2700U,Raven Ridge,04-Aug,2.2 to 3.8 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen Threadripper 1900,Zen,Aug-16,3.1 to 3.7 GHz,Socket SP3r2,14 nm,32MB,125 W,"Aug 31st, 2017"
Ryzen Threadripper 1900X,Zen,Aug-16,3.8 to 4 GHz,Socket SP3r2,14 nm,32MB,125 W,"Aug 31st, 2017"
Ryzen Threadripper 1920,Zen,Dec-24,3.2 to 3.8 GHz,Socket SP3r2,14 nm,32MB,140 W,"Jul 29th, 2017"
Ryzen Threadripper 1920X,Zen,Dec-24,3.5 to 4.2 GHz,Socket SP3r2,14 nm,32MB,180 W,"Aug 10th, 2017"
Ryzen Threadripper 1940,Zen,14  / 28,3.2 to 3.7 GHz,Socket SP3r2,14 nm,32MB,180 W,"Jul 29th, 2017"
Ryzen Threadripper 1940X,Zen,14  / 28,3.5 to 4 GHz,Socket SP3r2,14 nm,32MB,180 W,"Jul 29th, 2017"
Ryzen Threadripper 1950,Zen,16  / 32,3.2 GHz,Socket SP3r2,14 nm,32MB,180 W,"Jul 29th, 2017"
Ryzen Threadripper 1950X,Zen,16  / 32,3.4 to 4 GHz,Socket SP3r2,14 nm,32MB,180 W,"Aug 10th, 2017"
A10-7890K,Godaveri,4,4 to 4.3 GHz,Socket FM2+,28 nm,N/A,95 W,"Jan 11th, 2016"
A9-9400 SoC,Stoney Ridge,2,2.4 to 3.2 GHz,Socket FT4,28 nm,N/A,10 W,"May 31st, 2016"
A9-9410 SoC,Stoney Ridge,2,2.9 to 3.5 GHz,Socket FP4,28 nm,N/A,25 W,"May 31st, 2016"
A9-9420 SoC,Stoney Ridge,2,3 to 3.6 GHz,Socket FT4,28 nm,N/A,15 W,"May 31st, 2016"
A9-9425 SoC,Stoney Ridge,2,3.1 to 3.7 GHz,Socket FT4,28 nm,N/A,15 W,"May 31st, 2016"
Opteron A1120,Seattle,4,1700 MHz,Socket SP1,28 nm,8MB,25 W,"Jan 14th, 2016"
Opteron A1150,Seattle,8,1700 MHz,Socket SP1,28 nm,8MB,32 W,"Jan 14th, 2016"
Opteron A1170,Seattle,8,2000 MHz,Socket SP1,28 nm,8MB,32 W,"Jan 14th, 2016"
Opteron X2170,Steppe Eagle,4,2.4 GHz,Socket FT3,28 nm,N/A,25 W,"Sep 1st, 2016"
A10-7870K,Godaveri,4,3.9 to 4.1 GHz,Socket FM2+,28 nm,N/A,95 W,"May 28th, 2015"
FX-6330,Vishera,6,3.6 to 4.2 GHz,Socket AM3+,32 nm,8MB,125 W,"Dec 15th, 2015"
A10-7700K,Godaveri,4,3.5 to 3.8 GHz,Socket FM2+,28 nm,N/A,95 W,"Jan 14th, 2014"
A10-7850K,Godaveri,4,3.7 to 4 GHz,Socket FM2+,28 nm,N/A,95 W,"Jan 14th, 2014"
A4-5050,Kabini,4,1500 MHz,Socket FT3,32 nm,N/A,15 W,"Feb 1st, 2014"
E1-2150,Kabini,2,1050 MHz,Socket FT3,32 nm,N/A,9 W,"Feb 1st, 2014"
FX-8320E,Vishera,8,3.2 to 4 GHz,Socket AM3+,32 nm,8MB,95 W,"Sep 2nd, 2014"
FX-8370,Vishera,8,4 to 4.3 GHz,Socket AM3+,32 nm,8MB,125 W,"Sep 2nd, 2014"
FX-8370E,Vishera,8,3.3 to 4.3 GHz,Socket AM3+,32 nm,8MB,95 W,"Sep 2nd, 2014"
A10-5745M,Richland,4,2.1 to 2.9 GHz,Socket FP2,32 nm,N/A,25 W,"Jun 1st, 2013"
A10-5750M,Richland,4,2.5 to 3.5 GHz,Socket FS1r2,32 nm,N/A,35 W,"Jun 1st, 2013"
A10-5757M,Richland,4,2.5 to 3.5 GHz,Socket FP2,32 nm,N/A,35 W,"Jun 1st, 2013"
A10-6700,Richland,4,3.7 to 4.3 GHz,Socket FM2,32 nm,N/A,65 W,"Jun 1st, 2013"
A10-6700T,Richland,4,2.5 to 3.5 GHz,Socket FM2,32 nm,N/A,45 W,"Sep 16th, 2013"
A10-6790K,Richland,4,4 to 4.3 GHz,Socket FM2,32 nm,N/A,100 W,"Oct 28th, 2013"
A10-6800K,Richland,4,4.1 to 4.4 GHz,Socket FM2,32 nm,N/A,100 W,"Jun 1st, 2013"
A4-1200,Temash,2,1000 MHz,Socket FT3,32 nm,N/A,4 W,"May 23rd, 2013"
A4-1250,Temash,2,1000 MHz,Socket FT3,32 nm,N/A,8 W,"May 23rd, 2013"
A4-1350,Kabini,4,1000 MHz,Socket FT3,32 nm,N/A,8 W,"Oct 18th, 2013"
A4-4000,Richland,2,3 to 3.2 GHz,Socket FM2,32 nm,N/A,65 W,"Jun 1st, 2013"
A4-5000,Kabini,4,1500 MHz,Socket FT3,32 nm,N/A,15 W,"May 23rd, 2013"
A4-5145M,Richland,2,2 to 2.6 GHz,Socket FP2,32 nm,N/A,17 W,"Jun 1st, 2013"
A4-5150M,Richland,2,2.7 to 3.3 GHz,Socket FS1r2,32 nm,N/A,35 W,"Mar 12th, 2013"
A4-6300,Richland,2,3.7 to 3.9 GHz,Socket FM2,32 nm,N/A,65 W,"Jun 1st, 2013"
A6-1450,Temash,4,1000 to 1400 MHz,Socket FT3,32 nm,N/A,8 W,"May 23rd, 2013"
A6-5200,Kabini,4,2000 MHz,Socket FT3,32 nm,N/A,25 W,"May 23rd, 2013"
A6-5345M,Richland,2,2.2 to 2.8 GHz,Socket FP2,32 nm,N/A,17 W,"Jun 1st, 2013"
A6-5350M,Richland,2,2.9 to 3.5 GHz,Socket FS1r2,32 nm,N/A,35 W,"Jun 1st, 2013"
A6-5357M,Richland,2,2.9 to 3.5 GHz,Socket FP2,32 nm,N/A,35 W,"Jun 1st, 2013"
A6-6400K,Richland,2,3.9 to 4.1 GHz,Socket FM2,32 nm,N/A,65 W,"Jun 1st, 2013"
A8-5545M,Richland,4,1.7 to 2.7 GHz,Socket FP2,32 nm,N/A,25 W,"Jun 1st, 2013"
A8-5550M,Richland,4,2.1 to 3.1 GHz,Socket FS1r2,32 nm,N/A,35 W,"Jun 1st, 2013"
A8-5557M,Richland,4,2.1 to 3.1 GHz,Socket FP2,32 nm,N/A,35 W,"Jun 1st, 2013"
A8-6500,Richland,4,3.5 to 4.1 GHz,Socket FM2,32 nm,N/A,65 W,"Jun 1st, 2013"
A8-6600K,Richland,4,3.9 to 4.2 GHz,Socket FM2,32 nm,N/A,100 W,"Jun 1st, 2013"
Athlon II X2 280,Regor,2,3.6 GHz,Socket AM3,45 nm,N/A,65 W,"Feb 6th, 2013"
E1-1500,Zacate,2,1480 MHz,Socket FT1,40 nm,N/A,18 W,"Jan 6th, 2013"
E1-2100,Kabini,2,1000 MHz,Socket FT3,32 nm,N/A,9 W,"May 23rd, 2013"
E1-2500,Kabini,2,1400 MHz,Socket FT3,32 nm,N/A,15 W,"May 23rd, 2013"
E2-2000,Zacate,2,1750 MHz,Socket FT1,40 nm,N/A,18 W,"Jan 6th, 2013"
E2-3000,Kabini,2,1650 MHz,Socket FT3,32 nm,N/A,15 W,"May 23rd, 2013"
FX-4130,Vishera,4,3.8 to 4 GHz,Socket AM3+,32 nm,8MB,125 W,"Jan 30th, 2013"
FX-4350,Vishera,4,4.2 to 4.3 GHz,Socket AM3+,32 nm,8MB,125 W,"Apr 29th, 2013"
FX-6350,Vishera,6,3.9 to 4.2 GHz,Socket AM3+,32 nm,8MB,125 W,"Apr 29th, 2013"
FX-9370,Vishera,8,4.4 to 4.7 GHz,Socket AM3+,32 nm,8MB,220 W,"Jul 6th, 2013"
FX-9590,Vishera,8,4.7 to 5 GHz,Socket AM3+,32 nm,8MB,220 W,"Jul 6th, 2013"
Opteron X1150,Kyoto,4,2000 MHz,Socket FT3,28 nm,N/A,17 W,"May 29th, 2013"
Opteron X2150,Kyoto,4,1900 MHz,Socket FT3,28 nm,N/A,22 W,"May 29th, 2013"
A10-4600M,Trinity,4,2.3 to 3.2 GHz,Socket FS1r2,32 nm,N/A,35 W,"May 15th, 2012"
A10-4655M,Trinity,4,2 to 2.8 GHz,Socket FP2,32 nm,N/A,25 W,"May 15th, 2012"
A10-5700,Trinity,4,3.4 to 4 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A10-5800B,Trinity,4,3.8 to 4.2 GHz,Socket FM2,32 nm,N/A,100 W,"Oct 2nd, 2012"
A10-5800K,Trinity,4,3.8 to 4.2 GHz,Socket FM2,32 nm,N/A,100 W,"Oct 2nd, 2012"
A4-4300M,Trinity,2,2.5 to 3 GHz,Socket FS1r2,32 nm,N/A,35 W,"May 15th, 2012"
A4-4355M,Trinity,2,1.9 to 2.4 GHz,Socket FP2,32 nm,N/A,17 W,"Sep 27th, 2012"
A4-5300,Trinity,2,3.4 to 3.6 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A4-5300B,Trinity,2,3.4 to 3.6 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A6-4400M,Trinity,2,2.7 to 3.2 GHz,Socket FS1r2,32 nm,N/A,35 W,"May 15th, 2012"
A6-4455M,Trinity,2,2.1 to 2.6 GHz,Socket FP2,32 nm,N/A,17 W,"May 15th, 2012"
A6-5400B,Trinity,4,3.6 to 3.8 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A6-5400K,Trinity,4,3.6 to 3.8 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A8-4500M,Trinity,4,1.9 to 2.8 GHz,Socket FS1r2,32 nm,N/A,35 W,"May 15th, 2012"
A8-4555M,Trinity,4,1.6 to 2.4 GHz,Socket FP2,32 nm,N/A,19 W,"Sep 27th, 2012"
A8-5500,Trinity,4,3.2 to 3.7 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A8-5500B,Trinity,4,3.2 to 3.7 GHz,Socket FM2,32 nm,N/A,65 W,"Oct 2nd, 2012"
A8-5600K,Trinity,4,3.6 to 3.9 GHz,Socket FM2,32 nm,N/A,100 W,"Oct 2nd, 2012"
Athlon II X4 638,Llano,4,2.7 GHz,Socket FM1,32 nm,N/A,65 W,"Feb 6th, 2012"
Athlon II X4 641,Llano,4,2.8 GHz,Socket FM1,32 nm,N/A,100 W,"Feb 6th, 2012"
C-70,Ontario,2,1000 to 1333 MHz,Socket FT1,40 nm,N/A,9 W,"Sep 1st, 2012"
E1-1200,Zacate,2,1400 MHz,Socket FT1,40 nm,N/A,18 W,"Jun 6th, 2012"
E2-1800,Zacate,2,1700 MHz,Socket FT1,40 nm,N/A,18 W,"Jun 6th, 2012"
