Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Xeon 5150,Woodcrest,2 ,2.666 GHz,Socket 771,65 nm,N/A,65 W,"Jun 26th, 2006"
Xeon 5160,Woodcrest,2 ,3 GHz,Socket 771,65 nm,N/A,80 W,"Jun 26th, 2006"
Xeon 7110M,Tulsa,2  / 4,2.6 GHz,Socket 771,65 nm,4MB,95 W,"Aug 27th, 2006"
Xeon 7110N,Tulsa,2  / 4,2.5 GHz,Socket 771,65 nm,4MB,95 W,"Aug 27th, 2006"
Xeon 7120M,Tulsa,2  / 4,3 GHz,Socket 771,65 nm,4MB,95 W,"Aug 27th, 2006"
Xeon 7120N,Tulsa,2  / 4,3 GHz,Socket 771,65 nm,4MB,95 W,"Aug 27th, 2006"
Xeon 7130M,Tulsa,2  / 4,3.2 GHz,Socket 771,65 nm,8MB,150 W,"Aug 27th, 2006"
Xeon 7130N,Tulsa,2  / 4,3.166 GHz,Socket 771,65 nm,8MB,150 W,"Aug 27th, 2006"
Xeon 7140M,Tulsa,2  / 4,3.4 GHz,Socket 771,65 nm,16MB,150 W,"Aug 27th, 2006"
Xeon 7140N,Tulsa,2  / 4,3.333 GHz,Socket 771,65 nm,16MB,150 W,"Aug 27th, 2006"
Celeron D 350,Prescott,1 ,3.2 GHz,Socket 478,90 nm,N/A,84 W,"Jun 28th, 2005"
Core Duo T2050,Yonah,2 ,1600 MHz,Socket 479,65 nm,N/A,31 W,"May 1st, 2005"
Mobile Pentium 4 HT 552,Prescott,1  / 2,3.467 GHz,Socket 478,90 nm,N/A,88 W,"Jan 4th, 2005"
Pentium 4 506,Prescott,1 ,2.66 GHz,Socket 775,90 nm,N/A,84 W,"Jun 1st, 2005"
Pentium 4 506,Prescott,1 ,2.66 GHz,Socket 775,90 nm,N/A,84 W,"Jun 1st, 2005"
Pentium 4 506,Prescott,1 ,2.66 GHz,Socket 775,90 nm,N/A,84 W,"Jun 1st, 2005"
Pentium 4 511,Prescott,1 ,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2005"
Pentium 4 511,Prescott,1 ,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2005"
Pentium 4 511,Prescott,1 ,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2005"
Pentium 4 519K,Prescott,1 ,3.06 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2005"
Pentium 4 519K,Prescott,1 ,3.06 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2005"
Pentium 4 HT 521,Prescott,1  / 2,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jun 12th, 2005"
Pentium 4 HT 531,Prescott,1  / 2,3 GHz,Socket 775,90 nm,N/A,84 W,"Jun 12th, 2005"
Pentium 4 HT 541,Prescott,1  / 2,3.2 GHz,Socket 775,90 nm,N/A,84 W,"Jun 12th, 2005"
Pentium 4 HT 551,Prescott,1  / 2,3.4 GHz,Socket 775,90 nm,N/A,115 W,"Jun 12th, 2005"
Pentium 4 HT 561,Prescott,1  / 2,3.6 GHz,Socket 775,90 nm,N/A,115 W,"Jun 12th, 2005"
Pentium 4 HT 571,Prescott,1  / 2,3.8 GHz,Socket 775,90 nm,N/A,115 W,"Jun 12th, 2005"
Pentium 4 HT 620,Prescott,1  / 2,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Feb 20th, 2005"
Pentium 4 HT 630,Prescott,1  / 2,3 GHz,Socket 775,90 nm,N/A,84 W,"Feb 20th, 2005"
Pentium 4 HT 640,Prescott,1  / 2,3.2 GHz,Socket 775,90 nm,N/A,84 W,"Feb 20th, 2005"
Pentium 4 HT 650,Prescott,1  / 2,3.4 GHz,Socket 775,90 nm,N/A,84 W,"Feb 20th, 2005"
Pentium 4 HT 660,Prescott,1  / 2,3.6 GHz,Socket 775,90 nm,N/A,84 W,"Feb 20th, 2005"
Pentium 4 HT 662,Prescott,1  / 2,3.6 GHz,Socket 775,90 nm,N/A,84 W,"Nov 14th, 2005"
Pentium 4 HT 670,Prescott,1  / 2,3.8 GHz,Socket 775,90 nm,N/A,84 W,"May 26th, 2005"
Pentium 4 HT 672,Prescott,1  / 2,3.8 GHz,Socket 775,90 nm,N/A,84 W,"Nov 14th, 2005"
Pentium 4 HT EE 3.73,Prescott,1  / 2,3.733 GHz,Socket 775,90 nm,N/A,115 W,"Feb 21st, 2005"
Pentium D 820,Smithfield,2 ,2.8 GHz,Socket 775,90 nm,N/A,130 W,"May 26th, 2005"
Pentium D 820,Smithfield,2 ,2.8 GHz,Socket 775,90 nm,N/A,130 W,"May 26th, 2005"
Pentium D 830,Smithfield,2 ,3 GHz,Socket 775,90 nm,N/A,130 W,"May 26th, 2005"
Pentium D 840,Smithfield,2 ,3.2 GHz,Socket 775,90 nm,N/A,130 W,"May 26th, 2005"
Pentium D 840 EE,Smithfield,2  / 4,3.2 GHz,Socket 775,90 nm,N/A,130 W,"May 1st, 2005"
Pentium M 730,Dothan,1 ,1600 MHz,Socket 479,90 nm,N/A,27 W,"Jan 19th, 2005"
Pentium M 740,Dothan,1 ,1730 MHz,Socket 479,90 nm,N/A,27 W,"Jan 19th, 2005"
Pentium M 750,Dothan,1 ,1860 MHz,Socket 479,90 nm,N/A,27 W,"Jan 19th, 2005"
Pentium M 760,Dothan,1 ,2000 MHz,Socket 479,90 nm,N/A,27 W,"Jan 19th, 2005"
Pentium M 770,Dothan,1 ,2.13 GHz,Socket 479,90 nm,N/A,27 W,"Jan 19th, 2005"
Pentium M 780,Dothan,1 ,2.26 GHz,Socket 479,90 nm,N/A,27 W,"Jul 25th, 2005"
Xeon 2.8,Paxville,2 ,2.8 GHz,Socket 604,90 nm,N/A,135 W,"Oct 10th, 2005"
Xeon 3.0,Irwindale,1 ,3 GHz,Socket 604,90 nm,N/A,135 W,"Feb 14th, 2005"
Xeon 3.2,Irwindale,1 ,3.2 GHz,Socket 604,90 nm,N/A,135 W,"Feb 14th, 2005"
Xeon 3.4,Irwindale,1 ,3.4 GHz,Socket 604,90 nm,N/A,135 W,"Feb 14th, 2005"
Xeon 3.6,Irwindale,1 ,3.6 GHz,Socket 604,90 nm,N/A,135 W,"Feb 14th, 2005"
Xeon MP 2.83,Potomac,1 ,2.833 GHz,Socket 604,90 nm,4MB,135 W,"Mar 29th, 2005"
Xeon MP 2.83,Potomac,1 ,2.833 GHz,Socket 604,90 nm,8MB,135 W,"Mar 29th, 2005"
Xeon MP 3.00,Potomac,1 ,3 GHz,Socket 604,90 nm,4MB,135 W,"Mar 29th, 2005"
Xeon MP 3.00,Potomac,1 ,3 GHz,Socket 604,90 nm,8MB,135 W,"Mar 29th, 2005"
Xeon MP 3.16,Potomac,1 ,3.167 GHz,Socket 604,90 nm,4MB,135 W,"Mar 29th, 2005"
Xeon MP 3.16,Potomac,1 ,3.167 GHz,Socket 604,90 nm,8MB,135 W,"Mar 29th, 2005"
Xeon MP 3.16,Cranford,1 ,3.167 GHz,Socket 604,90 nm,N/A,135 W,"Mar 29th, 2005"
Xeon MP 3.33,Cranford,1 ,3.334 GHz,Socket 604,90 nm,N/A,135 W,"Mar 29th, 2005"
Xeon MP 3.33,Potomac,1 ,3.333 GHz,Socket 604,90 nm,8MB,135 W,"Mar 29th, 2005"
Xeon MP 3.33,Potomac,1 ,3.333 GHz,Socket 604,90 nm,4MB,135 W,"Mar 29th, 2005"
Xeon MP 3.50,Cranford,1 ,3.5 GHz,Socket 604,90 nm,N/A,135 W,"Mar 29th, 2005"
Xeon MP 3.66,Cranford,1 ,3.667 GHz,Socket 604,90 nm,N/A,135 W,"Mar 29th, 2005"
Xeon MP 7020 Dual-Core,Paxville,2 ,2.667 GHz,Socket 604,90 nm,N/A,135 W,"Dec 1st, 2005"
Xeon MP 7030 Dual-Core,Paxville,2 ,2.8 GHz,Socket 604,90 nm,N/A,135 W,"Dec 1st, 2005"
Xeon MP 7030 Dual-Core,Paxville,2 ,2.833 GHz,Socket 604,90 nm,N/A,135 W,"Dec 1st, 2005"
Xeon MP 7040 Dual-Core,Paxville,2 ,3 GHz,Socket 604,90 nm,N/A,135 W,"Dec 1st, 2005"
Xeon MP 7041 Dual-Core,Paxville,2 ,3 GHz,Socket 604,90 nm,N/A,135 W,"Dec 1st, 2005"
Celeron D 325,Prescott,1 ,2.533 GHz,Socket 775,90 nm,N/A,73 W,"Jun 24th, 2004"
Celeron D 326,Prescott,1 ,2.53 GHz,Socket 775,90 nm,N/A,73 W,"Sep 22nd, 2004"
Celeron D 330,Prescott,1 ,2.667 GHz,Socket 775,90 nm,N/A,84 W,"Jun 24th, 2004"
Celeron D 335,Prescott,1 ,2.8 GHz,Socket 478,90 nm,N/A,84 W,"Jun 24th, 2004"
Celeron D 335,Prescott,1 ,2.8 GHz,Socket 478,90 nm,N/A,84 W,"Jun 24th, 2004"
Celeron D 340,Prescott,1 ,2.93 GHz,Socket 775,90 nm,N/A,84 W,"Sep 22nd, 2004"
Celeron D 341,Prescott,1 ,2.93 GHz,Socket 775,90 nm,N/A,84 W,"Sep 22nd, 2004"
Celeron D 346,Prescott,1 ,3.06 GHz,Socket 775,90 nm,N/A,73 W,"Oct 1st, 2004"
Mobile Pentium 4 HT 518,Prescott,1  / 2,2.8 GHz,Socket 478,90 nm,N/A,88 W,"Jun 1st, 2004"
Mobile Pentium 4 HT 532,Prescott,1  / 2,3.067 GHz,Socket 478,90 nm,N/A,88 W,"Jun 1st, 2004"
Mobile Pentium 4 HT 538,Prescott,1  / 2,3.2 GHz,Socket 478,90 nm,N/A,88 W,"Jun 1st, 2004"
Mobile Pentium 4 HT 548,Prescott,1  / 2,3.334 GHz,Socket 478,90 nm,N/A,88 W,"Sep 28th, 2004"
Pentium 4 2.40,Prescott,1 ,2.4 GHz,Socket 478,90 nm,N/A,110 W,"Mar 1st, 2004"
Pentium 4 505,Prescott,1 ,2.66 GHz,Socket 775,90 nm,N/A,84 W,"Dec 1st, 2004"
Pentium 4 505J,Prescott,1 ,2.66 GHz,Socket 775,90 nm,N/A,84 W,"Dec 1st, 2004"
Pentium 4 519,Prescott,1 ,3.06 GHz,Socket 775,90 nm,N/A,84 W,"Dec 1st, 2004"
Pentium 4 HT 2.8E,Prescott,1  / 2,2.8 GHz,Socket 478,90 nm,N/A,115 W,"Feb 1st, 2004"
Pentium 4 HT 3.0E,Prescott,1  / 2,3 GHz,Socket 478,90 nm,N/A,115 W,"Feb 1st, 2004"
Pentium 4 HT 3.2E,Prescott,1  / 2,3.2 GHz,Socket 478,90 nm,N/A,115 W,"Feb 1st, 2004"
Pentium 4 HT 3.40,Northwood,1  / 2,3.4 GHz,Socket 478,130 nm,N/A,89 W,"Feb 2nd, 2004"
Pentium 4 HT 3.4E,Prescott,1  / 2,3.4 GHz,Socket 478,90 nm,N/A,115 W,"Apr 1st, 2004"
Pentium 4 HT 3.6E,Prescott,1  / 2,3.6 GHz,Socket 478,90 nm,N/A,115 W,"Aug 4th, 2004"
Pentium 4 HT 520,Prescott,1  / 2,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 520,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 520,Prescott,1  / 2,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 520,Prescott,1  / 2,2.8 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 530,Prescott,1  / 2,3 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 540,Prescott,1  / 2,3.2 GHz,Socket 775,90 nm,N/A,84 W,"Jun 21st, 2004"
Pentium 4 HT 550,Prescott,1  / 2,3.4 GHz,Socket 775,90 nm,N/A,115 W,"Jun 21st, 2004"
